model_name,pos,index,real_class,pred_class,text
3_model_09_01_2024-00_02,0,0,0,0,"Estagiário é flagrado ""ao vivo"" assistindo ""filminho adulto"" durante apresentação de telejornal. .  Telespectadores que assistiam um noticiário da BBC transmitido na última segunda-feira (7) ficaram de queixo caído! Eram quase 10h da noite quando a âncora Sophie Raworth falava sobre a vitória da equipe britânica de cricket sobre a África do Sul. Um detalhe inusitado conseguiu chamar mais atenção do que a própria notícia que estava sendo transmitida. Atrás da apresentadora havia um estagiário distraído brincando com seu computador [...] ele assistia um filminho de ""sacanagem"". O resultado? Tudo foi transmitido ao vivo! Não poderia acabar de modo diferente. O estagiário foi afastado temporariamente de suas funções."
3_model_09_01_2024-00_02,1,1,0,0,"Marqueteiro do PT está inquieto na cadeia. Ele grita dia e noite e diz que não vai poupar ninguém.  Informações da República de Curitiba dão conta de que o marqueteiro do PT está falando pelos cotovelos dentro da cadeia.  Uma fonte disse que João Santana está ansioso,  tenso e decidiu que não quer passar o resto de seus dias na cadeia. Santana,  que se desde 23/02  (data de sua prisão) estava calado,  resolveu que irá botar a boca no trombone. A defesa do publicitário já esta negociando um possível acordo com a equipe de investigação da PF. Ele será interrogado pelo juiz Sérgio Moro na próxima quinta-feira,  28. Ele é réu de uma ação penal decorrente da 23a fase da operação Lava Jato. Santana cuidou da publicidade durante a campanha de reeleição do ex-presidente Luiz Inácio Lula da Silva,  em 2006,  e as duas campanhas da presidente Dilma Rousseff,  em 2010 e 2014. A investigação aponta repasses no exterior de US$ 7, 5 milhões da Odebrecht para o casal João e Mônica Santana entre 2012 e 2014."
3_model_09_01_2024-00_02,2,2,0,0,"Há 43 anos, Ernesto Geisel avisou: ""Chegará um tempo em que o povo sentirá saudades dos militares"". .  Geisel foi o 29o Presidente do Brasil (1974 a 1979) durante o regime militar brasileiro. Em 1974, ele profetizou: ""Se é a vontade do povo brasileiro eu promoverei a Abertura Política no Brasil. Mas chegará um tempo que o povo sentirá saudade do Regime Militar. Pois muitos desses que lideram o fim do Regime não estão visando o bem do povo, mas sim seus próprios interesses."" Será que ele tinha razão?"
3_model_09_01_2024-00_02,3,3,0,0,"Campo de petróleo na África deu prejuízo de R$ 25 bilhões para a Petrobras. Teve muita propina!.  O rombo alcança mais de R$ 25, 2 bilhões. A Petrobras informou que estes contratos foram firmados com base em expectativas de lucro,  porém contrariaram pareceres técnicos que não aconselhavam o negócio.  TEVE MUITA PROPINA [campo de petróleo no Benin / Africa] ""No negócio do Petróleo é normal você perfurar alguns poços secos. Na Petrobras,  o que aconteceu foi a junção da ineficiência administrativa com a corrupção"" declarou o procurador do MPF Diogo Castor de Mattos,  da força-tarefa da Lava Jato. A área international da Petrobras [responsável por esse negócio] era comandada pelo PMDB e os diretores da estatal eram Nestor Cerveró [2003/2008] e Jorge Zelada [2008/2012]. Ambos foram condenados pelo recebimento de propinas. Cerveró confirmou [em delação] que a cúpula do PMDB [leia-se Cunha e Renan Calheiros] foram beneficiados. Eles negam as acusações 10 MILHÕES DE DÓLARES EM PROPINAS O campo de petróleo de Benin rendeu uma propina gorda de US$ 10 milhões. Até o momento,  apenas a parte recebida pelo deputado Eduardo Cunha foi descoberta."
3_model_09_01_2024-00_02,4,4,0,0,"Pai que perdeu gêmeos de 9 meses, a esposa e 20 familiares em ataque químico na Síria, clama por mais ajuda dos EUA. . "
3_model_09_01_2024-00_02,5,5,0,1,"6 maneiras positivas de superar o medo da morte. .  É neste ponto que devemos olhar para trás e contar nossas bênçãos e vitórias. Criamos uma comunidade de amigos, parentes e colegas que se estendem há décadas. A maioria de nós vive entusiasmada com as muitas décadas de vida que ainda podemos ter  décadas que queremos preencher com paixões, pessoas e lugares que nos interessam. Quando chegamos na casa dos ""enta"" (50,60) é comum começar a se preocupar com nossa mortalidade. Muitos de nós começamos a pensar sobre o fato de que temos menos anos pela frente e mais anos para trás. Diversas pessoas têm medo da morte, não importa o quão longe ela possa estar. Abaixo estão algumas dicas com base no conselho de outras pessoas com mais de 50 e 60 anos que superaram o medo de morrer. Gaste tempo com as pessoas que você gosta de estar por perto. Tente coisas novas. Desafie-se. Principalmente, mantenha-se ativo e comprometido com atividades positivas. Se houver algo que realmente o desafie  faça algo sobre isso! Se você tem negócios inacabados  resolva-os! Se você tem alguém com quem precisa falar  faça a ligação! Não continue indo para um trabalho profundamente insatisfeito ou fique em um relacionamento que o deixa infeliz. Você tem muitos anos para aproveitar tudo o que a vida tem para oferecer. O medo da morte é muitas vezes o medo de não viver de acordo com seus próprios princípios. Você merece ver seus sonhos se tornarem realidade. Quanto mais abraçar a vida, menos assustado você ficará quando chegar a hora! Isso nos ajuda a reconhecer que somos parte de um ciclo evolutivo. Podemos encontrar conforto no fato de que todos os outros também deverão passar pelos mesmos limiares: concepção, nascimento e morte. O pesquisador Norman Van Rooy (à beira da morte) disse uma vez: ""Não temos escolha senão nos rendermos ao desconhecido"". Você deve dar sua contribuição para este mundo como se fosse uma benção. Tivemos o privilégio de viver [...] então, vamos ser gratos e aceitar a morte quando ela finalmente chegar. Muitos escritores compartilharam suas próprias reflexões sobre o assunto da morte. Além disso, líderes religiosos, filósofos e místicos construíram uma magnífica biblioteca sobre o tema da vida após a morte. Suas obras não podem te dizer o que acontecerá depois que você morrer, mas elas podem ajudá-lo a abordar as questões igualmente importantes como a razão de estarmos aqui e como devemos nos preparar para a vida após a morte. Se você é religioso ou não, os rituais são importantes para criar um sentido de significado na vida. Eles também dão continuidade à nossa existência. Um ritual simples de se fazer é uma caminhada todas as tardes ou acender uma vela todas as manhãs. Faça uma oração de agradecimento ou olhe para o céu e simplesmente diga: ""Obrigado por mais um dia"" Tenha certeza de que pequenas mudanças farão com que você sinta algo emocional ou físico se transformando em sua vida. A escolha é somente sua. Se você tem curiosidade sobre novas práticas religiosas ou quer explorar novas idéias espirituais, agora é a hora. Não tenha medo de fazer perguntas difíceis e explorar o novo. Estas são as únicas questões que irão te guiar para uma compreensão mais profunda de sua fé  ou qualquer outro aspecto de sua vida. Há muitas coisas simples que você pode fazer para viver uma vida mais saudável e positiva. Na verdade, as menores etapas quando aplicadas constantemente, levam às maiores mudanças. Faça um compromisso de caminhar todos os dias, faça sol ou faça chuva. Adote um cão, ande de bicicleta, contemple a natureza, leia um livro, enfim, você deverá procurar sozinho aquela mudança que fará a diferença em sua vida. Explore suas paixões. Escreva uma ""lista"" com todas as coisas incríveis que você deseja fazer antes de morrer. Se você está ocupado vivendo, não terá tempo de se preocupar com a morte. Agora mesmo ... você está ocupado, viu só? Muitas das questões que temos sobre morrer são de naturezas religiosa ou filosófica. Mas e as preocupações práticas? Muitos de nós nos preocupamos com a morte porque nos perguntamos o que acontecerá com nossa família depois que a gente se for. Os nossos netos serão felizes? Será que nossa esposa poderá se recuperar da nossa passagem? Em caso afirmativo, eles terão dinheiro suficiente para continuar a viver o tipo de vida que eles merecem? Todas estas são perguntas válidas. A boa notícia é que, enquanto não podemos controlar quando e como deixaremos este mundo, podemos controlar o que acontece nesse exato minuto. Muitas pessoas sentem um alívio quando conseguem colocar suas pendências em ordem (sejam elas pessoais ou profissionais)  mesmo que tenham muitas décadas de vida saudável à sua frente. O conselho de outras pessoas com mais de 50 anos que conquistaram o medo da morte é simples: Concentre-se em viver autenticamente e apaixonadamente ""o agora."" O medo da morte não pode se enraizar no coração de uma pessoa verdadeiramente satisfeita com a vida."
3_model_09_01_2024-00_02,6,6,0,1,"Bolsonaro pode ser preso por suas declarações polêmicas? O deputado federal Jair Bolsonaro (PSC-RJ) disse que teve uma filha porque fraquejou, que quilombolas não serviam nem para procriar e que o erro da ditadura foi não matar mais dissidentes. Com essas declarações, gerou desconforto em vários grupos sociais. Mas só a minoria das frases que o acusam de ser discriminatórias e preconceituosas pode ser enquadrada como crime e, ainda assim, depende da interpretação da Justiça.

A FOLHA ouviu os advogados criminalistas Fábio Olivetti Lins e Silva e Leonardo Sakamoto Beltrão, para saber se o deputado Jair Messias Bolsonaro corre o risco real de ser preso. Como deputado, ele tem a imunidade parlamentar, o que lhe garante não ser punido por suas opiniões, palavras e votos, de acordo com o artigo 53 da Constituição Federal. Para o advogado Fábio Olivetti Lins e Silva, Bolsonaro não pode ser acusado criminalmente pelas suas frases. Além disso, muitas de suas colocações são expressão de opinião, o que é assegurado pela Constituição. Mas a linha é tênue. Ele é inteligente e caminha no limite entre o que a imunidade permite e o que não permite, diz o advogado criminalista Leonardo Sakamoto Beltrão.

Confira a seguir algumas dessas frases e interpretações jurídicas:

idiota, analfabeta, tá censurada

Há três anos, durante entrevista, Bolsonaro irritou-se com uma jornalista e lhe dirigiu essas palavras. O advogado Fábio Olivetti Lins e Silva explica que a Constituição não prevê punição por discriminação de gênero.

 O erro da ditadura foi torturar e não matar

Com passagem pelo serviço militar, Bolsonaro já faz declarações favoráveis à ditadura. Segundo os especialistas, essas opiniões não podem ser consideradas condutas criminosas. Pode ser crime se houver incitação à violência e à prática de tortura nos dias atuais.

Pela memória do coronel Carlos Alberto Brilhante Ustra

Em 2016, durante a votação para abertura do processo de impeachment de Dilma Rousseff, ele homenageou o coronel Ustra, torturador da ditadura militar. O Código Penal diz que é crime fazer, publicamente, apologia de autor de crime, o que poderia ser o caso, com pena de detenção e multa. Porém, Ustra nunca foi condenado formalmente por tortura, em razão da Lei de Anistia.

Nenhum pai, nem eu, tem orgulho de ter um filho gay

Tal afirmação, dita em entrevista ao apresentador inglês Stephen Fry, não pode ser usada para incriminá-lo. No entanto, o advogado Leonardo Sakamoto Beltrão explica que no Brasil há uma enorme confusão jurídica sobre livre expressão de opinião e discriminação. A afirmativa do deputado retratava uma questão de foro íntimo, ele pessoalmente não teria orgulho. Ele não disse que todo pai de homossexual não deva ter orgulho.

* Conclui-se então que até o presente momento não existem evidências jurídicas que coloquem o mandato e/ou a liberdade do deputado federal Jair Messias Bolsonaro em risco. *"
3_model_09_01_2024-00_02,7,7,0,1,"Ciro Gomes ataca Bolsonaro, Dória, Dilma e Lula. Ciro Gomes deu a entrevista mais bombástica dentre os pré-candidatos à presidência do Brasil nas eleições 2018. Não poupou nenhum de seus principais concorrentes e mostrou que nos debates será um dos mais provocativos presidenciáveis.

O pré-candidato à presidência Ciro Gomes (PDT-CE) foi entrevistado nesta quarta-feira no programa Pânico, da rádio Jovem Pan, e não poupou críticas a três possíveis concorrentes nas eleições de 2018: Luiz Inácio Lula da Silva (PT), Jair Bolsonaro (PSC) e João Doria (PSDB), além da ex-presidente Dilma Rouseff (PT). No início da entrevista, que teve mais de uma hora de duração, o presidenciável defende o fim da polarização entre os brasileiros para que os problemas possam ser superados.

O Brasil não pode cair na esparrela de aceitar essa falsa divisão entre coxinha e mortadela. Tem que discutir o futuro. Se a gente for transformar o embate que nós temos hoje nesse ódio ou paixão ao redor do Lula, o Brasil não sai de onde está. Ao ser questionado pelos integrantes da bancada sobre a ovada recebida pelo pelo prefeito de São Paulo, João Doria (PSDB) durante uma visita a Salvador na segunda-feira, Ciro disse que a atitude do manifestante não foi normal nem civilizada, mas aproveitou para criticar o paulista.

O Doria, na posição de prefeito de São Paulo, aperfeiçoa essa tragédia brasileira, porque é aquele político que não tem nada na cabeça e lê pesquisa com assessoria de marquetagem comercial. O que é que o marqueteiro está dizendo? Tá todo mundo puto com os políticos, então ele é um não-político. Todo mundo quer alguém que resolva os problemas, então ele é um gestor. E tá todo mundo zangadíssimo com a esculhambação que generalizou-se no PT, então ele é anti-PT, o anti-Lula e é grosseiro Isso não resolve nada.

Dilma

Ciro afirmou ter considerado o processo de impeachment um golpe, mas que não quer dizer que aprovasse o governo da petista.

 Falar mal do governo da Dilma é uma coisa quase covarde, porque é um governo desastrado. Corrupta ela não é, tanto que nem sequer foi acusada. Foi golpe porque governo corrupto você tem que provar funcionalmente o crime de responsabilidade dolosamente cometido pelo titular. E não aconteceu. Eu vou ser presidente do Brasil e ninguém vai me derrubar por protocolos formais. A Dilma se deixou imolar porque não é do ramo.

Lula

Durante uma brincadeira entre os integrantes do programa sobre a melhor escolha no caso de um segundo turno entre Lula e Bolsonaro, Ciro respondeu: Eu tapo o nariz e voto no Lula.  Em outro momento da entrevista, ele diz que Lula entregou Furnas ao ex-deputado federal Eduardo Cunha (PMDB-RJ) e que, em razão de sua popularidade. brincou de Deus ao escolher Michel Temer (PMDB) como vice de Dilma Rousseff na chapa presidencial de 2014.

Bolsonaro

Embora Ciro tenha reforçado ao longo da entrevista que respeita e tem uma boa relação com Jair Bolsonaro, ele diz considerar o deputado um personagem que, na opinião dele, está prestando um bom serviço para o país neste momento.

Ele está destruindo a fraude que o PSDB representa. Tirou todo esse eleitorado de direita, mais reativo, xenófobo, racista, elitista etc. que existe no país e que votava escondido no armário no PSDB. Então, o prejuízo que ele está causando ao PSDB é mortal, ele é um problema do PSDB.

 Para Ciro, no entanto, antes de ter pretensão de chegar ao Palácio do Planalto, Bolsonaro deveria tentar ser prefeito do Rio como experiência e que a popularidade dele se deve ao fato de ele ter respostas a duas grandes questões dos brasileiros, ainda que toscamente: a corrupção e a violência.

Se o cara chega ali, na Presidência da República, deixando o povo acreditar, falando bandido bom é bandido morto e a ladroeira vai acabar, porque no meu governo não tem, é mentira ou despreparo. "
3_model_09_01_2024-00_02,8,8,0,1,"History Channel: Hitler forjou a própria morte e fugiu para a Argentina.  Documentos comprovavam que Adolf Hitler e Eva Braun fugiram para a Argentina em um Submarino.  O FBI revelou que o governo dos EUA sabia que Adolf Hitler estava vivo e, em 1984, ele estava morando na Cordilheira dos Andes, muito tempo depois do fim da Segunda Guerra Mundial. (History Channel) Nos últimos 70 anos, o mundo foi levado a acreditar que Hitler teria morrido em 30 de abril de 1945 depois de se suicidar em seu bunker subterrâneo. De acordo com a história oficial, seu corpo foi descoberto e identificado pelos soviéticos e depois transportado para a Rússia. OS RUSSOS MENTIRAM? Com a divulgação desses documentos do FBI, certamente parece que o líder mais notório da história mundial escapou da Alemanha para desfrutar uma vida pacífica no alto da Cordilheira dos Andes, América do Sul. Recentemente uma foto (abaixo) foi postada nas redes sociais sugerindo um ""suposto"" Hitler idoso, de 95 anos, posando com a namorada no Brasil em 1984. Os recém-lançados arquivos do FBI afirmam que Adolf Hitler escapou através de um submarino com destino à Argentina, onde ele permaneceu em um rancho fortemente protegido, sofrendo de asma e úlceras. Documentos divulgados mostram que, não só o suicídio de Hitler e Eva Braun foi falsificado, como o casal também teve a ajuda do diretor do OSS (Serviço Estratégico da Alemnha), Allen Dulles, para possibilitar a fuga. Em um dos documentos liberados, revela-se que o FBI estava ciente de um misterioso submarino alemão navegava rumo à costa argentina. Quem é o misterioso informante? Em uma carta de Los Angeles ao Bureau (FBI) datada em agosto de 1945, um informante não identificado concordou em trocar informações por asilo político. O que ele disse aos agentes foi impressionante: ele não só sabia que Hitler estava na Argentina, como também era um dos quatro homens confirmados que conheciam o submarino alemão. Aparentemente, dois submarinos haviam chegado na costa argentina, e Hitler com Eva Braun estavam a bordo do segundo. O governo argentino não só acolheu o ditador alemão, como também o ajudou a se esconder. O informante passou então a dar instruções detalhadas e detalhes físicos credíveis sobre Hitler. Mais evidências são encontradas Juntamente com os documentos do FBI, novas evidências apareceram para provar que Adolf Hitler e Eva Braun não morreram naquele bunker. Em 1945, a Marinha Americana estava em águas argentinas e informou Washington que havia uma alta probabilidade de que Hitler e Eva Braun tinham acabado de chegar a bordo do sub U-530, porém o fato foi ignorado pelo alto comando norte-americano. A prova adicional veio na forma de artigos de jornal detalhando a construção de uma mansão de estilo bávaro no pé da Cordilheira dos Andes. O arquiteto Alejandro Bustillo, relatou que foi contratado para fazer o design e a construção da nova casa de Hitler, que teria sido financiada por imigrantes alemães ricos. Evidência irrefutável de que Hitler escapou Talvez a evidência mais condenatória de que Hitler tenha sobrevivido à queda da Alemanha reside na Rússia. Com a ocupação soviética da Alemanha, os supostos restos de Hitler foram rapidamente escondidos e enviados para a Rússia, para nunca mais serem vistos novamente. Em 2009, Nicholas Bellatoni (um arqueólogo do Estado de Connecticut/USA) foi autorizado a realizar testes de DNA em um dos fragmentos de um crânio recuperado. O que ele descobriu desencadeou uma reação através dos serviços de inteligência e das comunidades acadêmicas: o DNA do crânio não combinava com as amostras de Hitler nem tão pouco com as amostras de Eva Braun, companheira do ditador. Então, a questão passou a ser: ""Se esse não era o crânio de Hitler, de quem eram as provas que os soviéticos recolheram no bunker?"" Em 1945, o jornal Stars and Stripes citou que o General americano Eisenhower acreditava na possibilidade real de Hitler estar vivendo com segurança e comodidade na Argentina. Os documentos liberados pelo FBI provam que eles (o governo americano) não só sabia da presença de Hitler na Argentina, como também ajudou a encobrir o fato. Hitler escapou para a Argentina? A resposta é sim. fonte ( History Channel / tradução Diário do Brasil)"
3_model_09_01_2024-00_02,10,10,0,1,"Com uma dívida de mais de R$ 500 bilhões,  Petrobras tenta vender campos de produção do pré-sal. .  Com uma dívida de mais de R$ 500 bilhões,  a Petrobras decidiu oferecer campos do pré-sal em produção. A companhia abriu nesta semana um processo eletrônico (acesso a informações dos ativos à venda) dos campos de Baúna,  no pré-sal da Bacia de Santos,  e de Golfinho,  na Bacia do Espírito Santo. Juntos. Juntos,  os dois produzem cerca de 76 mil barris diários de petróleo e estão na lista dos 20 maiores campos produtores da Agência Nacional do Petróleo (ANP). A agência de classificação de risco Moody""s decidiu rebaixar a nota de crédito da estatal ,  passando de ""Ba2"" para ""Ba3""  que significa grau especulativo. Para arrecadar recursos,  a Petrobras está ainda oferecendo 10% dos 40% que possui na área de Libra,  no pré-sal na Bacia de Santos. Libra será o primeiro campo a ser explorado pelo novo sistema de Partilha e tem reservas entre 8 bilhões a 12 bilhões de barris. O consórcio que opera Libra,  além da Petrobras,  tem como sócios a Shell (20%),  Total (20%), e as chinesas CNPC (10%) e CNOOC (10%). A Petrobras ainda enfrenta uma ação judicial movida por investidores nos Estados Unidos após o escândalo da Operação Lava-Jato. O juiz da corte de Nova York,  Jed Rakoff,  adiou para o dia 21 deste mês a audiência que vai decidir se o processo continua como uma ""ação coletiva"" ou não. Outro ponto são os títulos de dívida emitidos pela estatal em 2014 nos Estados Unidos. Os investidores defendem que,  além dos processos individuais,  haja ressarcimento também para os compradores destes papéis. A Petrobras,  por outro lado,  quer excluir esses investidores do processo."
